repo_id,n_modules,total_edges,cf_edges,has_cf,sec_reached,stars,forks,size_kb
71251136,1,0,0,0,0,4,1,7
71259804,2,1,0,0,0,0,0,796
71733438,1,0,0,0,0,0,0,5
71786619,8,5,5,1,0,20,11,79
71732671,1,1,0,0,0,0,0,9
71787445,3,2,2,1,0,0,0,2
71799893,6,0,0,0,0,3,7,100
71827954,2,0,0,0,0,0,0,15
71907889,1,0,0,0,0,4,3,12
71915615,2,0,0,0,0,7,13,33
71933303,1,0,0,0,0,4,6,138
71997470,6,6,0,0,0,24,24,227
72041646,2,1,1,1,0,31,14,24
72117150,1,0,0,0,0,7,15,3
72137820,2,1,0,0,0,0,0,15
72143883,1,0,0,0,0,4,0,22
72233700,1,0,0,0,0,0,1,122
72277506,1,0,0,0,0,4,2,8
72444914,4,2,2,1,1,1,7,100
72445520,13,0,0,0,0,8,13,53
72559518,3,3,0,0,0,0,0,10
72449545,32,42,41,1,1,0,0,379
72575977,3,2,2,1,0,5,1,100
72635113,1,0,0,0,0,3,3,5
72709046,1,0,0,0,0,1,1,22
72636567,5,4,4,1,1,4,1,180
72765897,1,0,0,0,0,0,0,4
72837396,19,15,15,1,1,64,19,58
72861885,1,0,0,0,0,7,5,7
72854815,4,0,0,0,0,15,20,207
73082668,3,2,2,1,1,2,2,9
73162730,4,0,0,0,0,29,21,51
73195207,1,0,0,0,0,14,16,371
73315068,1,0,0,0,0,0,0,21
73207547,3,2,2,1,0,59,26,73
73283689,1,2,0,0,0,20,4,299
73327586,1,0,0,0,0,2,1,18
73488701,1,0,0,0,0,3,0,10
73332017,1,0,0,0,0,0,0,7
73525926,2,0,0,0,0,1,0,19
73654044,3,0,0,0,0,59,15,1559
73724564,1,0,0,0,0,0,2,6
73697283,5,0,0,0,0,0,0,19
73706797,100,44,42,1,1,2869,1914,559
73716274,1,0,0,0,0,1,0,6551
73884366,4,3,3,1,1,0,0,37
73753866,3,2,0,0,0,1,1,41
74012842,1,0,0,0,0,0,1,36
74050885,1,0,0,0,0,1,1,30
74059613,2,0,0,0,0,0,0,3
74092001,10,7,7,1,1,1,0,20
74235164,5,6,3,1,1,13,5,68
74480129,4,4,4,1,0,5,3,140
74409259,1,0,0,0,0,2,1,3
74290701,22,13,12,1,1,0,0,131
74540784,1,0,0,0,0,3,2,16
74562224,2,0,0,0,0,0,0,32
74611849,1,0,0,0,0,3,1,10
74570034,5,2,0,0,0,0,0,73
74695850,20,0,0,0,0,0,0,44
74787872,1,0,0,0,0,0,0,6
74794560,5,4,4,1,0,8,3,59
74707609,13,12,12,1,1,82,10,529
74841638,3,0,0,0,0,1,0,18
74913019,3,2,2,1,0,1,1,3
74970374,5,4,4,1,1,18,5,16
74949269,1,0,0,0,0,71,58,23
75021319,1,0,0,0,0,0,0,3
75221934,1,0,0,0,0,11,2,18
75268755,1,0,0,0,0,10,5,5403
75137894,4,0,0,0,0,13,7,227
75337986,1,0,0,0,0,2,4,44
75340050,1,0,0,0,0,25,20,37
75405469,1,0,0,0,0,0,0,9
75444096,1,0,0,0,0,0,0,20
75494638,2,1,1,1,0,1,0,50
75595130,4,3,3,1,1,2,0,14
75583238,2,0,0,0,0,2,5,25
75831274,2,1,1,1,1,0,0,22
76001340,1,0,0,0,0,5,2,38
76031766,1,0,0,0,0,7,23,68
76079616,8,2,1,1,1,0,0,357
76122366,1,0,0,0,0,1,2,38
76158299,1,0,0,0,0,0,0,4
76135218,1,1,0,0,0,0,2,10
76083803,5,4,3,1,1,1,0,28020
76171706,5,4,4,1,1,3,3,8
76400847,5,2,2,1,1,0,0,74
76275050,7,0,0,0,0,0,0,34
76476943,1,0,0,0,0,0,0,5
76489740,1,0,0,0,0,1,2,14
76561807,1,0,0,0,0,1,0,28
76545292,6,8,7,1,1,0,2,158
76552082,3,0,0,0,0,330,146,309
76689079,1,0,0,0,0,6,1,15
76840390,3,0,0,0,0,7,9,46
76752424,1,0,0,0,0,0,0,6
76789454,4,0,0,0,0,0,1,216
76959381,1,0,0,0,0,0,0,3
76843730,12,16,16,1,1,0,0,43
77012222,1,0,0,0,0,0,0,5
77075761,20,26,25,1,1,8,6,84
77292161,1,0,0,0,0,0,0,2
77098223,3,0,0,0,0,0,0,9
77231570,3,1,1,1,0,5,4,24
77720294,1,0,0,0,0,11,8,3
77624252,1,0,0,0,0,6,8,24
77531303,7,6,6,1,0,1,4,247
77724885,1,0,0,0,0,0,0,3
77743967,1,0,0,0,0,1,0,10
77817131,1,0,0,0,0,0,2,3
77397761,30,26,24,1,1,17,5,20709
77861910,14,2,2,1,0,1,1,22
77884619,3,2,2,1,0,0,1,40
77931708,3,2,2,1,0,0,0,87
77936694,6,6,0,0,0,1,0,9
78004743,1,0,0,0,0,5,0,8
78091796,1,0,0,0,0,0,0,21
78150975,2,1,1,1,1,57,32,2512
